Name,Role,Years Active,Company,Notes
Thor Henning Hetland (Totto),President / Leder,1998-2008,ObjectWare,Co-founded JavaZone. J2EE since 1997. The engine of javaBin.
Stein Grimstad,Vice President / Nestleder,early 2000s-2007,,Organizational/logistics lead. Stepped down with Totto ~2007.
Carl Onstad,Key organizer,early 2000s-2007,,Partner/sponsor relationships for JavaZone.
Bjorn Tveiten,Finance Officer / Okonomisjef,2003-2005+,,Re-elected multiple times. Kept the books straight.
Kaare Knudsen,Nestleder / Deputy chair,2003-2006,,Second-term board member by 2006.
Olve Maudal,Board member,2003+,,Later well-known speaker. Wrote 2007 tribute blog post.
Trond Stromme,Board member,2003,,
Leif Jantzen,Board member,2003-2006,,Re-elected 2006.
Maja Bratseth,Board member,2003,,
Kjetil Jorgensen-Dahl,Board member,2003-2005,ObjectNet,
Kjetil Paulsen / Kjetil Helgaker-Paulsen,Board member,2003-2006,,Re-elected 2006.
Odd Erik Zapffe,Board member,2003-2006,Mesan,Re-elected 2006. Still listed as board member later.
Oyvind Lokling,Board member,2003-2006,WM-Data,Re-elected 2006. Later GitHub org member.
Harald Kuhr,Board member,2003-2006,WM-Data,Re-elected 2006.
Nils Christian Haugen,Board member,2003,,
Lennart Alvestad,Board member,2003,,
Thomas Oldervoll,Board member,2003,,
Laila Ronning,Board member,2003-2005,,
Ole-Martin Mork,Board member,2003-2006,,Second-term by 2006.
Kjetil Valstadsve,Board member,2003,,Developer at openadex.
Bjorn Bjerkeli,Board member,2005-2006,,Second-term by 2006.
Andreas Bade,Board member,2005-2006,,Second-term by 2006.
Harald Oygard,Board member,2005,,
Bjorn Lind / Bard Lind,Board member,2005-2006,,Second-term by 2006.
Nils Helge Garli,Board member,2005-2006,,Second-term by 2006.
Tobias Torrissen,Board member,2005-2006,Cantara (later),Re-elected 2006.
Dervis Mansuroglu,Board member / Oslo meetup leader,2010-2022+,Capgemini (initially),Java Champion 2019. Duke's Choice Award 2019.
Rustam Mehmandarov,JavaZone leader / Board member,2010s+,,Java Champion. Led JavaZone for 3 years.
Markus Kruger,Board member / Oslo meetups,2014+,,Helped restart Oslo meetup group.
Helge Skrivervik,1996 founding initiative,1996,Skrivervik Data,Drove the original 1996 Java user group attempt.
