Year,Attendees,Venue,Days,Tracks,Notes
2002,350,Chateau Neuf (basement),1,,Inaugural. Organized with Sun Microsystems.
2003,400,Chateau Neuf,1,,Growing steadily.
2004,900,Radisson SAS Holbergs plass,1,,First venue change. Major jump.
2005,1000,Radisson SAS,1,,Established.
2006,1400,Radisson SAS,1,,Outgrowing venue.
2007,2300,Oslo Spektrum,2,6,Major venue upgrade. Totto and Stein step down.
2008,2500,Oslo Spektrum,2,,,
2012,2800,Oslo Spektrum,2,,,
2016,3000,Oslo Spektrum,2,,15 Years of JavaZone.
2019,3200,Oslo Spektrum,2,,Duke's Choice Award for javaBin.
2024,3600,Oslo Spektrum,2,,~200 speakers ~50 partners.
